"","accuracy","label"
"1",0.380385696185508,"observed"
"2",0.153160103909341,"expected"
"3",0.153142408176844,"expected"
"4",0.153177799641838,"expected"
"5",0.153163643055841,"expected"
"6",0.153177799641838,"expected"
"7",0.153174260495339,"expected"
"8",0.153183108361588,"expected"
"9",0.153144177750094,"expected"
"10",0.15316718220234,"expected"
"11",0.153181338788338,"expected"
"12",0.153183108361588,"expected"
"13",0.153163643055841,"expected"
"14",0.153172490922089,"expected"
"15",0.153145947323343,"expected"
"16",0.153172490922089,"expected"
"17",0.15317072134884,"expected"
"18",0.15317072134884,"expected"
"19",0.153183108361588,"expected"
"20",0.153084012259603,"expected"
"21",0.153183108361588,"expected"
"22",0.153174260495339,"expected"
"23",0.153144177750094,"expected"
"24",0.153176030068589,"expected"
"25",0.153158334336091,"expected"
"26",0.153161873482591,"expected"
"27",0.153147716896593,"expected"
"28",0.15316895177559,"expected"
"29",0.153156564762842,"expected"
"30",0.153183108361588,"expected"
"31",0.15317072134884,"expected"
"32",0.15316541262909,"expected"
"33",0.153174260495339,"expected"
"34",0.153128251590846,"expected"
"35",0.15316718220234,"expected"
"36",0.153022077195863,"expected"
"37",0.153160103909341,"expected"
"38",0.153082242686354,"expected"
"39",0.153163643055841,"expected"
"40",0.153176030068589,"expected"
"41",0.153131790737346,"expected"
"42",0.153160103909341,"expected"
"43",0.153172490922089,"expected"
"44",0.153172490922089,"expected"
"45",0.153149486469843,"expected"
"46",0.153144177750094,"expected"
"47",0.15316895177559,"expected"
"48",0.153177799641838,"expected"
"49",0.153184877934837,"expected"
"50",0.15316718220234,"expected"
"51",0.153161873482591,"expected"
"52",0.153151256043093,"expected"
"53",0.153112325431599,"expected"
"54",0.15317072134884,"expected"
"55",0.15316718220234,"expected"
"56",0.153181338788338,"expected"
"57",0.153176030068589,"expected"
"58",0.153181338788338,"expected"
"59",0.15316541262909,"expected"
"60",0.153131790737346,"expected"
"61",0.153147716896593,"expected"
"62",0.15317072134884,"expected"
"63",0.153186647508087,"expected"
