"","alicia","bat1","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","captain-america","cat","cc","ccc","ccs","cd","cerce","cerceson","cindy","cs","csc","d","daredevil","dcd","dd","ddld","dr","ds","esther","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","houdini","hulk","irma","ivy","jenna-bat","jupiter","kelly","ldc","lds","lily","lilyson","lsd","lucy","lucyson","mabel","marce","mina","no-band","ola","opal","piper","queen","r","rc","rina","s","sam1","sam5","sam6","sam7","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","sonofzaria","speedster","spiderman","ss","sss","streblick","thecount","tiffany","vampirella","vampison","veronica","vixen","vlad","war-machine","winona","zaria","zelda"
"six",0,9,37,76,33,14,1,46,0,452,1,8,0,20,1,7,0,0,0,3,55,0,0,0,0,0,112,482,0,2,0,0,0,0,0,34,0,5,19,5,1,0,9,2,1,2,7,365,0,0,0,0,51,0,28,0,0,397,0,109,5,69,1,0,146,5,0,8,0,0,0,54,0,0,0,150,0,1552,0,0,0,0,32,1,0,0,0,93,0,0,0,2,1,0,0
"snow",0,19,10,2,17,55,0,21,0,62,0,0,0,13,0,13,0,0,0,0,24,0,1,4,0,0,95,152,2,0,0,0,0,6,0,7,0,15,9,7,14,0,65,0,0,0,0,19,0,0,0,0,43,1,27,1,0,8,0,47,5,1,0,1,21,1,0,3,0,0,0,0,110,27,0,1,69,55,0,0,0,0,3,20,4,0,4,17,0,0,0,8,0,1,0
"son-of-ola",0,59,195,782,91,126,114,19,0,4769,194,0,0,284,8,50,2,0,1,279,423,0,0,3,1,0,512,5124,0,46,0,5,0,6,7,25,0,150,11,43,12,0,16,1,20,2,53,1157,0,1,0,0,619,77,250,4,0,783,2,186,51,100,1,0,413,44,0,24,0,0,0,560,34,5,1,166,30,10050,1,3,0,74,170,36,1,0,0,560,0,0,0,4,0,0,17
"sonofzaria",0,3,30,6,1,1,0,1,0,143,13,0,0,1,0,11,0,0,0,0,50,0,0,0,0,0,14,70,0,0,0,0,0,2,0,0,0,4,0,4,1,0,0,0,1,0,0,0,0,0,0,0,15,2,84,10,0,0,0,4,13,0,0,0,54,0,0,0,0,0,0,15,2,5,0,1,0,44,0,0,0,1,4,2,0,0,0,30,0,0,0,0,0,0,0
"speedster",0,61,218,20,16,58,1,3,0,521,3,0,0,73,0,30,0,0,0,61,279,0,0,0,1,0,40,917,0,0,0,1,0,192,0,2,0,54,2,4,1,0,12,0,5,77,2,168,0,0,0,10,24,10,64,4,0,19,225,265,235,4,1,0,19,3,0,0,0,0,0,63,24,272,1,3,4,133,0,335,0,7,42,16,0,0,3,226,0,0,0,1,3,2,6
"spiderman",0,1,6,2,17,1,0,6,0,115,13,2,0,0,0,7,0,0,0,0,15,0,0,3,0,0,96,131,0,1,0,0,0,0,0,1,0,5,0,9,1,0,0,0,0,0,0,15,0,0,0,0,28,0,28,2,0,10,0,17,6,4,0,0,40,0,0,0,0,0,0,0,16,5,0,3,1,60,0,0,0,0,2,4,1,0,0,12,0,0,0,2,0,0,1
"ss",0,2,1,0,0,1,0,1,0,232,0,0,0,1,1,12,0,0,0,2,120,0,3,1,0,0,7,223,0,1,0,0,0,10,1,5,0,52,0,0,3,0,0,0,0,11,0,56,0,1,0,0,6,5,4,0,0,0,23,31,60,3,0,0,3,0,0,0,0,0,0,1,0,30,0,0,1,14,0,10,0,113,4,5,0,2,0,26,0,0,0,0,0,0,1
"sss",0,114,391,85,28,130,7,29,0,8038,18,1,5,82,6,90,1,0,0,306,1420,0,6,15,1,1,226,3595,1,84,0,1,0,20,3,222,0,580,81,9,30,0,5,3,52,19,2,1851,0,1,0,0,295,37,475,2,0,320,132,686,460,8,0,0,633,90,0,21,0,0,0,267,90,37,3,4,17,1030,0,35,0,34,1012,7,0,0,0,946,0,0,2,2,1,0,29
"streblick",0,48,0,0,41,4,0,4,0,4,0,1,0,1,0,5,0,0,0,0,18,0,0,0,0,0,23,206,0,0,0,0,0,13,0,0,0,1,0,38,3,0,1,0,0,9,1,22,0,0,0,8,97,0,11,6,0,0,0,41,8,1,1,0,4,0,0,0,0,0,0,0,31,49,0,0,6,29,0,4,0,0,1,669,7,0,0,1,0,0,3,5,0,0,0
"thecount",0,4,0,2,11,4,0,0,0,3,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,10,37,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,1,0,0,0,4,0,0,0,0,13,1,25,2,0,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,12,29,0,0,1,5,0,0,0,0,0,23,2,0,1,2,0,0,3,1,0,0,0
"tiffany",0,4,3,0,6,9,0,2,0,30,0,1,0,1,0,0,0,0,0,15,53,0,0,0,0,0,2,38,0,1,0,0,0,1,0,61,0,5,3,0,0,0,2,0,2,20,0,2,0,0,0,0,5,1,3,0,0,0,6,36,342,0,0,0,5,0,0,0,0,0,0,2,0,40,0,0,0,3,0,4,0,0,5,4,0,22,0,10,0,1,0,0,12,0,14
"vampirella",0,2,0,0,5,12,0,0,0,6,0,0,0,1,0,5,0,0,0,0,7,0,0,0,0,0,11,101,0,0,0,0,0,19,0,0,0,3,1,1,0,0,3,0,0,1,0,4,0,0,0,0,13,0,8,0,0,0,0,24,10,0,0,0,2,0,0,0,0,0,0,0,27,58,0,0,4,22,0,2,0,0,1,25,0,0,5,5,0,0,1,0,0,0,0
"vampison",0,172,40,309,26,29,5,1,0,1135,29,0,0,31,2,23,0,0,0,1295,1043,0,3,0,0,0,29,1509,0,46,0,0,0,16,0,2,0,180,0,8,3,0,4,0,140,51,1,24,0,4,0,6,383,28,255,88,0,32,68,19,812,2,0,0,28,1,0,0,0,0,0,113,3,57,2,2,4,350,0,70,0,9,31,66,0,3,8,4632,0,0,1,2,5,0,14
"veronica",0,9,1,0,5,7,0,0,0,22,1,0,0,0,0,6,0,0,0,2,9,0,0,0,0,0,12,68,0,0,0,0,0,11,0,0,0,19,0,0,0,0,1,0,0,2,0,3,0,0,0,0,11,1,16,0,0,1,1,12,31,0,0,0,0,0,0,0,0,0,0,4,8,41,0,0,3,24,0,2,0,0,4,9,0,1,3,6,0,0,0,0,0,0,1
"vixen",0,65,15,3,4,162,2,22,1,619,0,9,0,23,1,4,0,0,1,41,598,1,0,2,0,2,69,421,2,24,0,0,0,21,3,41,0,33,29,1,2,0,84,0,8,55,24,51,0,1,0,0,19,46,17,1,0,8,45,236,772,37,0,0,47,1,0,18,0,0,0,14,0,26,0,1,33,36,0,26,0,5,35,12,0,10,0,109,0,4,0,1,7,0,21
"vlad",0,3,4,10,28,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,21,28,0,0,0,0,0,2,0,0,0,0,1,26,0,0,1,0,0,0,1,2,0,0,0,0,24,0,21,0,0,0,0,4,4,3,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,22,0,0,0,0,0,8,0,0,0,3,0,0,5,1,1,0,0
"war-machine",0,19,4,1,7,2,0,3,0,14,1,2,0,0,0,6,0,0,0,0,59,0,0,0,0,0,15,23,0,0,0,0,0,0,0,0,0,0,4,4,1,0,4,0,0,0,0,3,0,0,0,0,18,0,1,2,0,1,0,8,11,1,0,0,32,0,0,0,0,0,0,0,8,4,0,1,2,11,0,0,0,0,0,13,1,0,0,1,0,0,0,15,0,0,0
"winona",0,0,2,0,0,7,0,0,0,13,0,3,0,4,0,0,0,0,0,11,49,0,0,0,0,0,4,4,0,27,0,0,0,0,0,162,0,0,3,0,0,0,1,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,5,67,40,27,0,0,2,0,0,1,0,0,0,1,0,43,0,0,0,1,0,2,0,0,2,0,0,3,0,8,0,1,0,0,106,0,2
"zaria",0,1,66,50,64,21,3,7,0,308,7,12,0,11,1,20,0,0,0,46,79,0,0,3,0,0,49,345,0,3,0,0,0,49,0,5,0,64,4,28,5,0,10,2,4,17,3,48,0,0,0,2,42,4,84,6,0,5,44,182,119,16,0,3,19,0,0,0,0,0,0,80,37,125,1,0,4,215,0,26,0,0,19,32,7,0,1,70,2,0,0,0,2,2,16
"zelda",0,15,8,31,17,34,16,1,0,1187,34,6,0,11,3,0,0,0,0,23,285,1,0,0,0,0,5,171,0,17,0,0,0,6,7,40,0,92,4,16,0,0,19,2,0,9,63,49,0,0,0,0,2,65,39,1,0,2,463,643,1288,303,0,1,74,0,0,2,0,0,0,36,0,384,0,0,0,27,0,16,0,2,20,2,0,5,0,107,0,1,0,1,35,0,1528
