"","alicia","bat1","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","captain-america","cat","cc","ccc","ccs","cd","cerce","cerceson","cindy","cs","csc","d","daredevil","dcd","dd","ddld","dr","ds","esther","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","houdini","hulk","irma","ivy","jenna-bat","jupiter","kelly","ldc","lds","lily","lilyson","lsd","lucy","lucyson","mabel","marce","mina","no-band","ola","opal","piper","queen","r","rc","rina","s","sam1","sam5","sam6","sam7","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","sonofzaria","speedster","spiderman","ss","sss","streblick","thecount","tiffany","vampirella","vampison","veronica","vixen","vlad","war-machine","winona","zaria","zelda"
"dr",0,3,0,1,9,9,0,0,0,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,86,35,16,0,0,0,0,0,0,2,0,1,0,3,2,0,11,0,0,0,0,16,0,0,0,2,11,0,4,0,0,2,0,23,0,1,1,0,4,1,0,0,0,0,0,0,1,2,0,0,2,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"ds",0,7,0,17,17,2,0,0,0,54,1,2,0,0,1,5,0,0,0,52,35,1,0,1,0,0,28,31,0,183,0,0,0,0,1,43,0,14,5,7,4,0,1,4,0,0,20,35,0,1,0,0,10,1,18,0,0,4,0,20,7,27,4,0,8,0,0,0,0,0,0,3,20,5,0,0,1,11,0,0,0,0,2,5,0,0,0,4,0,0,1,1,12,0,1
"esther",0,2,0,0,2,1,1,0,0,140,1,1,0,2,0,1,0,0,0,0,9,0,0,1,0,0,10,24,0,2,0,0,0,0,0,1,0,53,1,1,4,0,1,0,0,2,7,36,0,0,0,0,6,0,15,0,0,0,0,58,6,16,0,0,10,0,0,0,0,0,0,3,3,10,0,0,1,18,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,1,3
"eve",0,2,74,18,0,1,2,3,0,192,9,0,0,2,1,4,0,0,0,7,51,0,0,0,0,0,3,125,0,3,0,3,0,2,0,13,0,2,6,1,0,0,0,0,4,0,1,79,0,0,0,0,4,0,4,0,0,12,0,24,8,2,0,0,38,1,0,2,0,0,0,35,0,0,0,4,0,408,0,1,0,3,9,0,0,1,0,17,0,1,0,0,0,0,1
"falcon",0,0,3,0,3,19,0,0,0,149,4,0,0,2,1,1,0,0,0,0,6,0,0,1,0,0,47,261,0,0,0,0,0,0,0,0,0,31,0,3,4,0,0,0,0,0,2,64,0,0,0,0,11,2,5,1,0,2,0,98,5,1,0,0,12,0,0,0,0,0,0,8,74,44,0,0,5,23,0,0,0,1,8,8,0,0,0,5,0,0,0,0,0,1,8
"flapper",0,29,34,49,152,154,0,24,0,270,0,7,0,54,0,13,0,0,0,48,115,0,3,0,0,2,73,701,0,2,0,0,0,393,0,34,0,38,25,63,8,0,15,0,2,45,1,233,0,0,0,4,145,2,36,19,0,12,139,887,343,11,6,1,61,0,0,1,0,0,0,113,55,477,0,4,12,134,0,205,0,1,37,60,9,4,2,127,0,0,2,6,2,1,8
"fran",0,5,5,1,29,46,1,31,0,1969,0,26,0,1,0,1,0,0,0,4,401,1,0,7,0,1,76,121,0,1,0,0,0,0,168,587,0,26,48,2,6,1,10,1,1,2,139,370,0,0,0,0,8,438,7,0,0,65,148,530,103,450,2,0,290,8,0,4,0,0,0,68,0,12,0,5,0,141,0,1,0,53,24,0,0,0,0,25,0,1,0,1,17,0,128
"gayle",0,12,41,1,2,158,1,14,0,1159,0,13,0,77,1,0,2,0,0,3,1234,8,0,0,0,1,73,236,2,3,0,0,0,2,8,4444,0,16,87,3,4,0,69,0,10,17,40,305,0,1,0,1,4,4,6,0,0,91,29,546,227,796,0,0,237,52,0,27,0,0,0,113,2,8,0,1,11,26,0,9,0,0,120,3,0,7,0,59,0,11,0,0,75,0,20
"gremlin",0,23,11,2,4,14,0,7,0,438,2,0,0,3,0,11,0,0,0,1,109,0,0,0,0,0,20,279,1,0,0,0,0,5,0,0,2,14,2,5,4,0,2,0,1,12,0,8,0,1,0,0,29,5,75,3,0,1,31,72,161,1,1,0,32,0,0,0,0,0,0,7,15,8,0,1,1,23,0,0,0,0,25,12,0,0,0,23,0,0,0,0,0,1,1
"hera",0,18,8,14,4,55,8,40,0,4002,4,3,0,95,22,12,3,0,0,89,329,1,0,3,0,0,73,1354,1,68,0,1,0,7,1,24,0,5469,13,1,13,0,27,2,4,4,5,280,0,9,0,0,157,16,91,5,0,69,531,238,85,23,0,3,106,57,0,5,0,0,0,135,18,249,0,3,14,506,0,1,0,17,64,18,0,0,0,176,0,0,0,6,7,0,61
"hilga",0,166,30,21,19,215,1,61,0,1564,1,49,2,197,0,4,0,0,0,3,559,0,0,11,1,0,460,1655,4,63,0,0,0,6,22,1342,0,23,487,6,11,0,43,0,6,24,2,231,0,1,0,8,76,28,38,0,0,125,3,332,93,273,1,0,511,29,0,69,0,0,0,21,31,11,0,0,24,45,0,5,0,2,199,19,0,1,0,104,0,3,5,53,10,0,3
"houdini",0,14,0,123,12,3,3,10,0,1,0,12,0,0,0,0,0,0,0,3,53,0,1,1,0,0,10,84,0,5,0,0,0,2,0,0,0,1,6,237,2,0,8,0,0,8,2,1,0,0,0,0,13,0,6,6,0,0,0,18,24,9,0,0,12,0,0,0,0,0,0,0,4,3,1,0,3,8,0,0,0,0,0,18,0,0,0,17,0,0,0,17,0,0,3
"hulk",0,6,35,3,21,56,2,53,0,1310,3,25,0,0,1,22,0,0,3,0,465,1,1,5,1,1,80,395,0,6,0,0,0,2,0,51,0,72,47,91,148,0,9,6,1,5,18,83,0,0,0,0,31,32,71,0,0,3,10,635,62,57,2,0,188,0,0,4,0,0,0,11,16,115,0,0,5,62,0,0,0,1,13,3,0,1,0,14,0,0,3,10,0,0,7
"irma",0,0,0,0,0,1,0,0,0,17,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,34,0,2,0,0,0,0,0,18,0,0,1,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,12,12,24,3,0,0,3,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,3
"ivy",0,5,0,0,1,57,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,119,34,3,0,0,0,0,0,0,1,0,1,0,0,0,0,53,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,30,0,1,0,0,1,1,0,1,0,0,0,0,1,7,0,0,2,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1
"jenna-bat",0,30,6,51,121,4,32,22,0,839,20,8,0,0,2,18,0,0,0,39,210,1,0,8,2,1,112,249,1,59,1,0,0,1,0,14,0,34,12,41,4,0,2,29,2,3,3,99,0,0,0,0,92,7,129,2,0,1,5,71,109,24,6,0,222,0,0,0,0,0,0,76,119,44,0,1,4,270,0,3,0,0,12,10,2,0,0,27,0,0,1,5,0,0,21
"jupiter",0,7,14,6,15,16,0,3,0,1104,7,0,0,4,1,1,0,0,0,14,97,0,0,0,0,0,21,181,0,0,0,0,0,0,0,0,0,21,1,1,0,0,6,0,109,18,0,9,0,0,0,0,14,8,26,0,0,3,1,26,209,0,0,0,15,0,0,1,0,0,0,137,0,9,0,1,2,145,0,0,0,1,23,0,0,1,0,100,0,0,0,0,0,0,2
