"alicia","bat1","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","captain-america","cat","cc","ccc","ccs","cd","cerce","cerceson","cindy","cs","csc","d","daredevil","dcd","dd","ddld","dr","ds","esther","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","houdini","hulk","irma","ivy","jenna-bat","jupiter","kelly","ldc","lds","lily","lilyson","lsd","lucy","lucyson","mabel","marce","no-band","ola","opal","piper","queen","r","rc","rina","s","sam1","sam5","sam6","sam7","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","sonofzaria","speedster","spiderman","ss","sss","streblick","thecount","tiffany","vampirella","vampison","veronica","vixen","vlad","war-machine","winona","zaria","zelda"
0,2.6028766631314,2.3208162871342,2.70545994050364,2.09878185118785,1.74133575153802,1.80952226773753,2.08865175912753,1.67421796387648,2.08136407660206,2.00331227193551,2.09627203717083,2.37742900875217,1.91753938749783,2.37154201500159,2.63748341781632,2.00498231770002,2.43688797645188,1.7973857092612,2.9429465317811,1.83747071729964,1.67404587277951,2.25798474313545,1.70232432835905,2.88924002991079,1.96237238585761,2.64000852470557,2.03126714508014,3.13864884633801,2.86482752956017,1.86469771391817,2.33929638582089,1.99817309004074,1.91904218492194,2.07397472907157,2.51545002710587,1.78367365189781,2.41481754883747,2.05058522922191,2.95152755217795,1.78086415326885,2.10391015714378,3.55310370028071,1.88697602085381,2.7853840825407,1.80086052784389,8.76419034704028,1.78258180786416,1.91589376245745,3.05685902526177,1.83366985017147,2.37257826566322,3.87445217632432,2.35684196415569,1.94074724230097,2.10955278231321,2.58490101208931,2.05555889402723,1.86466665688753,2.16323557204054,3.11414612071934,2.30018285785585,2.45740606937824,2.24124747631821,2.36491232008224,1.97793465596608,2.33804640745897,1.86066238095712,1.87158398766146,2.08310689289942,2.22299083575211,2.28967862276159,2.75570114936758,1.87511041635176,2.56323227868024,2.69396871720176,2.30061136582979,2.41579702935524,1.91318181147249,2.33035460696861,2.49538415782977,1.55352539227761,3.87426020865499,2.77441323942236,2.34977353647322,2.87112969085229,2.45326487312645,2.19310476323311,1.60347397199078,3.09835587119853,3.19793696544419,2.579334301307,1.47618834887455,1.80946261242635
2.6028766631314,0,2.55079013284026,3.25072039629851,2.87979858600834,2.61566668977459,3.21312446310487,2.58523793203078,2.47585928465279,2.79280805068826,3.02021583852404,2.93259511591062,2.64732620104501,2.97701645243969,3.34506272449861,3.17215271456298,2.60362916043773,3.64112162923912,2.09761783837794,3.81184864282885,2.47138775359324,2.80782788329046,2.79250858897843,2.45632109919417,3.427687525867,2.35521773601127,3.11851858535489,2.72549490105576,3.52398244872446,3.78142152385545,2.92309342887758,2.84151771903423,3.0034065457332,2.54524902161771,3.02830028238679,3.37838270073073,2.18440313618936,3.57700796181217,2.56691725264831,3.41179434286169,2.4338995776721,3.25910067475586,4.05422644618485,2.78366842237659,3.66246286049687,2.45074718667496,8.90292393775773,2.52691334551502,2.43253592097605,3.49724947259743,2.47567648712568,2.66289098398952,2.98967077801792,3.0493986526817,2.61275368413665,2.60776900744516,3.07863613453142,3.32628087565475,2.99364688795632,3.11894033187334,3.70765430556926,3.0082084230654,3.61115464780228,2.5609809504162,3.04026357045101,2.81994202233746,2.77061018559813,2.63386977364595,2.49713524346873,2.6879312100984,2.98016848076656,3.0231381985654,3.8153666883274,2.71988390260383,3.00763317619435,2.8089698438789,2.97227152614051,2.83534385850508,2.67218594031025,2.95589919383927,2.88671806461732,2.39179806559936,3.22559117343112,2.98117330698153,3.35406771342252,3.33625586214622,3.03931316542964,3.02433542561817,2.39507798945737,2.95932785337932,2.82641138615111,3.71492922493597,2.52244449340534,3.58203130551595
2.3208162871342,2.55079013284026,0,3.19818140361855,2.93669292464392,2.55583654937439,2.76355980015063,2.84289476884718,2.36525154193225,2.19533769744722,2.15329612355174,3.27002281149831,2.8035969010103,2.6903964464558,2.73020251031275,2.87931295286708,2.02445483756651,2.75907046449546,2.15790263250164,3.69623373376341,2.50340179191851,2.50453592863901,3.19082968717517,2.36802123535427,3.57067489263114,2.45180012904219,3.19261980961254,2.47823533952355,3.77744348665676,3.79860905664776,2.43696572977818,1.88209197071481,2.80132511912579,2.58091382735979,2.74375422893276,3.38715158959602,2.04518821005999,3.09537947471818,2.74494092252337,3.93260568914281,2.49520947579797,3.12679450805788,4.44448258794097,2.56058005124805,3.10205951707584,2.7810696111998,8.38377838188778,2.18373900414044,2.20525487345314,3.1243842381252,1.72326801318188,2.85417616236292,3.95492301494909,2.9308472661013,2.0449027706858,2.35998522515582,2.77668710600785,2.86484456368558,2.79654456596035,3.1945505832527,3.88238825581855,2.90329385499972,3.75742628363334,2.26974867903477,3.07588620499948,2.60998641497822,2.85193231684692,2.16213087757212,2.50174090762705,2.31229184120034,1.98111506035898,2.88691684137763,3.78090962427438,2.1817700470172,2.51613701547151,3.44965851924837,2.30031641229608,1.9828487242474,2.07898898013801,2.82361697775627,2.963986380024,1.87392455904353,4.22845183721595,3.30478800023486,3.51639271488644,3.47719610496847,2.91323103738732,2.95961700601374,2.53104374161271,3.3297520736557,3.86454359212163,3.85312972999928,2.05074878161458,3.22679468598265
2.70545994050364,3.25072039629851,3.19818140361855,0,2.08673753225205,3.02901822934535,1.83086621975029,3.00309835681897,2.79053712041556,3.23257794805826,2.24599221669021,3.24266453425441,2.36667811565001,2.75967738343793,2.85953668628788,3.08743015832734,2.6756419196269,2.5398237311642,2.13399497370635,2.70579602560183,3.37619511578855,2.7686279160663,3.30461841305925,2.87106800665667,2.95441333882988,2.76359076216881,3.22398281413414,2.72451561226779,3.15293242452403,3.2325783442153,2.86589205007969,2.60405202285753,2.85293850379779,3.50848429486343,3.66373186848454,4.01056548052901,2.91474940516122,3.10416222081017,3.3020289165309,2.2114350893689,2.9879156214395,3.66553207098236,3.84858038407984,2.108093294832,3.15984234482807,3.30883469314761,9.4169812888122,2.99380330208419,2.84249702062074,3.5750695441561,2.56824273409682,2.95403041323062,3.24865584281222,3.90853554170214,2.01709875510112,3.2917303955238,3.05793865345884,3.73196749305757,3.64970968430885,3.64198256340712,4.10289034429398,2.86406453829662,3.3261603808809,2.65490183173156,3.50790125795486,3.08676683716167,3.39147844970362,3.15780358099404,1.9658733892924,2.79740564053573,3.3673417703045,3.0249448373397,3.92708105668466,2.6679989078947,2.83165592947962,3.07719731928683,2.41123751757784,2.39992161655356,3.17435179148734,2.5341220378201,3.62271672438665,2.832058564466,3.65080710952999,3.05047241102993,3.65659227753342,3.13229666902098,2.79375317401734,2.58902072590018,3.03468924901628,2.53076677197949,3.11750745917514,4.1667740352286,2.45752983914191,3.33386503165426
2.09878185118785,2.87979858600834,2.93669292464392,2.08673753225205,0,1.92183031227892,1.94001989465287,2.21573725079507,2.07472574067769,3.03226753210192,2.1685961047144,2.37301983442685,2.71058386985474,2.43473224129033,2.8848852557624,2.72793249909317,2.31993546203105,2.47740665778304,1.97106066464009,3.66654869465119,3.21522790770188,2.27961793582876,3.0344635593118,2.16488231699114,1.75497887506767,2.03569964249081,2.12424979666477,2.31341945235359,2.32883063492749,3.58045574600169,2.42066045479444,2.61840887815259,1.78059134510772,2.45249350502964,3.09388871458784,3.39115150054681,2.56987999266484,3.12668708663826,2.62755449490965,2.28392396124125,2.42583659880928,2.83866616903892,2.98682488414077,1.87149955341681,3.56581833986895,2.76114710511171,9.36457211083323,2.41206820291641,2.4916644538735,3.36216051214568,2.46288626286802,2.02380161062072,3.35169726964357,3.70165566622958,1.95031546959134,2.84410156049283,2.54012431137319,3.38578953137965,2.43552950083849,3.37848800160504,3.70203899395929,1.43910309028595,2.78357350606196,2.42130366812575,3.04282952685485,2.32242400784654,2.99374152979172,2.88643656232405,1.83341386640281,2.32505426615189,3.07317991988835,2.02150450868607,3.14644610198248,2.08296714205877,2.27149104220375,2.24168589354933,2.25618860517339,2.71528675873107,2.69870569187297,1.76327634674148,3.37609123765436,2.42072291522111,3.35043169477393,2.13820483510594,3.27084876064011,2.37992153101905,3.336494099874,2.16016212659697,2.78796260696819,2.28566136572937,2.7731676488652,3.68485554189513,1.86171853056108,2.91525849004074
1.74133575153802,2.61566668977459,2.55583654937439,3.02901822934535,1.92183031227892,0,2.38743634760625,1.83863483191185,2.00295856362659,2.48560577170402,2.33770351876931,2.41657289230088,2.80545011980261,1.70242328072225,2.86637399128623,2.83693534774069,2.10476573960561,2.7032041499099,1.9397175772747,3.59244995909611,2.728636312225,2.00897062375317,2.63638052425565,1.80903355548053,2.47456399287957,1.57881761196712,2.0016660251101,1.79359107769335,2.54681702199231,3.62761407822712,2.32701917487869,2.61637048091836,1.54368800891081,1.70087385566146,2.30637465304364,2.76802315936854,2.01691530453987,2.66566348570827,1.76163312479911,3.19112455571367,2.08880643334792,2.29669925114974,2.47353934840569,2.23508366798871,3.29127294767625,2.27558009099798,8.87068986945804,1.91234792106132,2.26800434197917,3.19931278260798,2.08593165577255,2.22421053375137,3.71255545749191,2.92639905147664,2.17682954652175,1.88998992263008,2.26351711898717,2.59675826102266,1.53076942689408,2.79336543085145,3.39598339766059,1.87306988015697,2.37980115497995,2.42829712297991,1.96335282253082,1.56552202364585,1.87491536333569,2.18934626625242,2.06861534060189,1.98833086897345,2.55350049665177,1.97455123172954,2.92850569626124,2.02055177469287,2.42643809766211,1.90638361523855,2.31041419712211,2.74332223692336,2.06040905489162,2.09531872495623,2.79659940470783,1.7361895964499,3.85744156230482,2.63065913114456,2.77306737060032,2.52091822955985,3.08608585025515,2.22829947664812,1.91392351207943,3.12756331838253,2.97300881648425,3.17072150213299,1.64633107837879,2.58862299991049
1.80952226773753,3.21312446310487,2.76355980015063,1.83086621975029,1.94001989465287,2.38743634760625,0,2.38917403106329,2.47618102317059,2.46732744959697,1.98872818665406,2.70661767500656,2.38031198240115,2.11251776800247,2.40288792045432,2.70146954513005,2.08368459938497,1.7740957513344,2.07065647102832,2.77954041826536,2.67292371723842,1.86083228521967,2.95840165201687,2.22005455674675,2.84773756233045,2.25877395614451,2.89522446618363,2.41087624493008,3.31061988262378,2.88548605791627,2.39527056488774,1.97579045109786,2.25744563602979,2.77604435408716,2.70109823267591,3.12632434515725,2.55418214082917,2.48285287873722,2.57958255245242,2.83021824722887,2.60732416393001,3.0512943816558,3.73932266045441,1.79362619436902,2.89059164492148,2.83882148519217,9.22966581794455,2.11692434200756,2.61759286322507,3.32536072100127,1.89447236201496,2.96278902541186,3.93569892139724,3.05184490583175,2.06338934753548,2.41963120656973,2.39480537316258,2.9068295992385,2.90711608127628,3.07223674949875,3.52614874562602,2.46819758887892,3.08498959712029,2.27501418154027,2.66358310846111,2.2956094595882,2.96614502646155,2.39013350581366,1.74895339093888,2.13174184487529,2.3697556567844,2.59121741449479,3.46631902272809,2.25263129442589,2.28339188043001,3.01577862176144,1.87541187594021,2.49951369824009,2.61749384699968,2.357836719285,3.07743530357139,1.95204474775365,4.24035600897199,3.26471982881721,3.19565132800024,3.28323956605505,2.59825988693808,2.68961603135165,2.46187595711679,3.12875032999967,3.5521414908848,3.25280748797435,1.92149166100647,2.37567247423424
2.08865175912753,2.58523793203078,2.84289476884718,3.00309835681897,2.21573725079507,1.83863483191185,2.38917403106329,0,2.52874651807115,2.61618849488404,2.69620613542983,2.30141321950257,2.52170054644745,2.21660056508858,2.97560910872856,2.91406102319776,2.13761912188945,2.6786102134715,2.08352103034159,3.4332312223554,2.65367738191416,2.06256450701717,2.84918464854215,2.15049502223657,2.837769512612,1.79755797972769,2.54156462750108,2.30920350771788,3.33152838370073,3.28543317264894,2.632335373383,2.60172847169915,2.36703247469629,2.50010194583347,2.71793800024183,2.67430278893283,2.10883853254429,2.94748997680065,2.03034383655411,3.24989614537329,2.26430364735459,3.27904169811058,3.43885296310144,2.20307731879465,3.34631699390003,2.6752453272548,8.99680721609498,2.40763643530406,2.50850472164339,3.11584152273638,2.1987544415981,2.98257861961205,3.82480783954149,3.10509299272762,2.55140374357949,2.05523954953767,2.44775971941886,3.37288889643135,2.24513471605144,3.00531130560865,3.30944137262362,2.59980770895305,3.17279183463405,2.14895216961232,2.75769257918226,2.4711680905547,2.58316613206746,2.06636242921605,1.87681132866177,2.03446201438626,2.48897998837092,2.57000122922692,3.96856622057745,2.51782528090027,2.20512203744846,2.41154651232213,2.30397572149949,2.79545073460081,2.80297101354331,2.14455914506622,3.15366991796695,1.94234259855527,4.31487663201695,3.29145140447369,3.0747205797029,3.27591681048865,3.00909256393307,2.81033550053296,2.04082302636324,3.25739978754915,3.24940405876203,3.12445682107293,2.05372223555454,3.29307123473137
1.67421796387648,2.47585928465279,2.36525154193225,2.79053712041556,2.07472574067769,2.00295856362659,2.47618102317059,2.52874651807115,0,2.69237316223108,2.33992537227383,2.87041303262588,2.57626928173402,2.25152239342141,2.91622304206644,2.87121999281664,2.34814062683161,3.21931520387431,1.78792746963826,2.97218118158725,2.5581546504334,2.64743545111339,2.41694793979518,2.18091874547568,2.91966077505911,2.35274838138735,2.63941591842089,1.86104664115439,3.01714378542013,3.69143609076414,2.72524732929973,2.66667702894699,2.14354273669454,1.46529429965195,3.0514191727297,3.34127820415976,1.7346208457,3.14555695181289,2.43109584208262,3.02028250844896,2.42193002936649,1.90292684491295,3.61317526238224,2.42362210670743,3.00274504212751,1.67888821157807,9.42674546727367,2.34163725257856,1.25523590557157,2.80223615667425,2.17520942551411,1.4063312049631,3.63114754936006,3.17161960000838,1.94846060616123,2.58032621272612,2.95098872929281,2.53937953675231,2.36765176039354,2.11660230849305,3.89303697092607,2.21314050091167,2.5631039755103,2.65443101229056,2.93907620045707,2.2877148869027,2.72627099473544,2.34417817980352,2.26131954769273,2.56970163591731,2.82419283667691,2.33696624424102,2.55786296639388,1.51255999650518,2.81152833370523,2.72312659453273,2.49569026720788,2.23980477763547,1.34138158090814,2.26131490091904,2.52601157458644,2.13039971811955,3.13769760197633,2.15430852881475,2.11994910120442,2.07639092895244,2.30840555588314,1.79386642048535,1.90794744466228,2.67661658259973,3.06367177140194,3.08269270313277,1.37201507313576,2.52844953968051
2.08136407660206,2.79280805068826,2.19533769744722,3.23257794805826,3.03226753210192,2.48560577170402,2.46732744959697,2.61618849488404,2.69237316223108,0,1.96792488032574,2.78561088662828,1.86856280216656,2.21567678963338,1.51000058787127,2.34530086608204,1.45862637414581,2.38775625400561,2.39064170570099,3.36467321158244,1.62070507820734,1.7086799262465,2.68967484478564,1.3299785447668,3.05465167194596,1.80295097920988,2.58281965078331,2.0583109046305,3.36233109471058,3.47258615382659,2.22169449332214,2.0152151690449,2.34438680749547,2.88126540357091,1.76435666168896,2.89130473325645,1.7359180635392,2.16558803077499,2.06718287221788,3.85201452555486,1.78299062608965,2.79190226996999,3.79334412468291,1.85356770403836,2.39663899292305,2.64913324076122,8.79552728674744,1.80602978494894,2.63322851805513,2.66938346581656,1.57138414393109,3.42764885726699,3.86275217162947,1.54901903136535,2.28798074474811,1.61626766765148,2.23072567336008,2.34298499674628,3.00030349314992,2.67761317549391,3.48078209515403,2.73355009737319,3.63484463500721,1.9065254944826,2.48752873613095,1.99682880731428,2.22966089987913,1.36083760945323,2.07479745994357,1.56956790744618,1.60911036826574,2.40772490296645,3.66532296433227,2.65468611176837,2.34096954492345,2.969043479548,1.97441029693714,2.07213130670251,2.62328070140761,2.38350076860124,2.32574230614399,1.323547992548,4.50848251523545,3.5661904119134,3.33461040435661,3.70615458302514,2.64181732027349,2.98856095458844,1.89433396591326,3.46446473233924,3.39254953597047,3.62102934622901,2.1696942289987,2.61763235758627
